CoefficientName,Breath,Face,Head,Neck,Chest,Back,Pelvis,LUpperArm,LLowerArm,LHand,RUpperArm,RLowerArm,RHand,LThigh,LLeg,LFoot,RThigh,RLeg,RFoot
C1_cool,,,0.38,0.4,0.35,0.3,0.2,0.29,0.3,0.2,0.29,0.3,0.2,0.2,0.3,0.25,0.2,0.3,0.25
K1_cool,,,0.18,0.15,0.1,0.1,0.15,0.1,0.1,0.15,0.1,0.1,0.15,0.11,0.1,0.15,0.1,0.1,0.15
C1_warm,,,3.96,1.25,1,1,0.4,0.4,0.7,0.45,0.4,0.7,0.45,0.29,0.4,0.26,0.29,0.4,0.26
K1_warm,,,0.18,0.15,0.1,0.1,0.15,0.1,0.1,0.15,0.1,0.1,0.15,0.11,0.1,0.15,0.1,0.1,0.15
C21,,,543,173,39,88,75,156,144,19,156,144,19,151,206,109,151,206,109
C22,,,90,217,136,192,137,167,125,46,167,125,46,263,212,162,263,212,162
C3,,,0,0,-2135,-4054,-5053,0,0,0,0,0,0,0,0,0,0,0,0
a_-2,0.27,0.7,0.54,0.65,0.91,0.91,0.94,0.43,0.37,0.25,0.43,0.37,0.25,0.81,0.7,0.5,0.81,0.7,0.5
a_0,0.51,0.37,0.5,0.46,0.57,0.46,0.32,0.28,0.38,0,0.28,0.38,0,0.3,0.29,0,0.3,0.29,0
a_2,0.39,1.14,0.69,0.63,0.97,0.75,0.75,0.37,0.3,0.33,0.37,0.3,0.33,0.82,0.8,0.44,0.82,0.8,0.44
b_-2,-1,-0.74,-1.1,-0.92,-1.14,-0.92,-0.64,-0.56,-0.73,0,-0.56,-0.73,0,-0.6,-0.59,0,-0.6,-0.59,0
b_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b_2,1,0.74,1.1,0.92,1.14,0.92,0.64,0.56,0.73,0,0.56,0.73,0,0.6,0.59,0,0.6,0.59,0
c_-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
c_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c_2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1
C31,,,0.35,0,-0.66,-0.45,0.59,0.3,-0.23,-0.8,0.3,-0.23,-0.8,0,-0.2,-0.91,0,-0.2,-0.91
C32,,,0.35,0,0.66,0.45,0,0.35,0.23,0.8,0.35,0.23,0.8,0,0.61,0.4,0,0.61,0.4
C6,,,2.17,1.96,2.1,2.1,2.06,2.14,2,1.98,2.14,2,1.98,1.98,2,2.13,1.98,2,2.13
C71,,,0.28,0,1.39,0.96,0.5,0,0,0.48,0,0,0.48,0,1.67,0.5,0,1.67,0.5
C72,,,0.4,0,0.9,0,0,0,1.71,0.48,0,1.71,0.48,0,0,0.3,0,0,0.3
C8,,,0.5,-0.19,0,0,-0.51,-0.4,-0.68,0,-0.4,-0.68,0,0,0,0,0,0,0
n,,,2,1,2,1,1,1,1,1,1,1,1,1,1.5,2,1,1.5,2
