Time Sequence,Head,Chest,Back,LUpperArm,RUpperArm,LLowerArm,RLowerArm,LHand,RHand,LThigh,RThigh,LLeg,RLeg,LFoot,RFoot,Neck,Pelvis
1,35.05029387,35.95294209,34.73649252,34.61924247,35.1551632,34.40083366,35.76397888,35.19486993,36.1833165,34.80459746,35.62583948,34.69192831,34.76462414,36.4633522,36.57380514,34.97776731,35.74817063
2,35.4559167,34.41036049,35.49655096,35.06639479,34.66453799,35.75499515,35.33976103,35.91611809,35.94812502,35.73771221,35.87457114,35.49544472,35.05019831,36.75423177,36.96279814,35.90921616,36.19040353
3,35.4913765,34.69384933,35.45117761,34.58168589,35.34800275,34.19499826,33.63432848,33.83211671,33.57927445,34.78581179,34.84526352,32.97670376,33.25486149,34.45354427,34.95290976,34.90888195,34.64288598
4,36.09688256,36.26232272,36.25245606,36.24523534,36.02236227,35.5421804,35.48506064,35.29120703,35.28594111,37.57182292,35.41618716,35.24447167,36.09009939,36.18449191,36.75413465,36.13194026,37.06936124
5,35.97580107,34.38101131,34.18606031,34.44832753,34.47815839,34.66334343,34.72044623,34.73656096,34.16019169,34.36961054,34.32253466,33.17549526,33.22967089,34.50726173,34.59579989,33.46648542,33.22860621
6,34.56504896,34.34701728,34.72215606,34.79729033,35.0679939,34.15475629,34.26235097,33.639074,33.97073804,34.39179864,34.41191248,32.99650648,33.11422632,33.88231957,35.29957514,34.35617591,33.88595613
7,34.52494491,34.32807033,35.0936452,34.82046327,33.44422413,34.4098349,33.70161629,34.38280216,33.33939241,35.15921824,35.8186191,34.01664685,33.60097626,35.02389121,34.55429671,35.16869833,36.10503628
8,35.58822022,35.12766838,38.43177574,35.06191603,35.53493826,34.75549006,34.89950685,34.98965387,35.23999505,34.92587588,34.78464842,33.97918335,34.02311533,35.68335325,36.29163543,35.85747394,36.27865865
9,34.82973825,35.0926955,34.17558157,33.70032011,33.41960099,33.09280644,33.91084839,34.02472126,34.09731535,34.21937982,34.33401337,32.29335229,31.85721162,34.59145895,34.75100737,32.77559488,35.55821019
10,35.20438105,35.67256232,34.86241664,35.55058553,36.20251649,34.30977783,34.7859551,31.93038467,32.18914987,33.54670736,34.17095268,33.13288451,32.64342954,34.59641621,34.10879332,35.37996601,35.59147948
