ClothingLevel-Met,Head,Neck,Chest,Back,Pelvis,LUpperArm,LLowerArm,LHand,RUpperArm,RLowerArm,RHand,LThigh,LLeg,LFoot,RThigh,RLeg,RFoot
Summer-Met_0.8,35.34080045,35.34080045,35.00115051,34.82662898,34.88948793,33.02792105,31.29705059,31.14142947,33.04651133,31.37314583,31.37301919,33.64975231,30.91952386,31.06892236,33.65118092,30.9407924,31.08127289
Summer-Met_1.0,35.04789312,35.04789312,34.77775503,34.59357571,34.61993115,32.69041868,30.86577617,30.1318263,32.71168186,30.97142913,30.51302841,33.75952178,31.87528142,31.6104037,33.76152984,31.8999523,31.62462103
Summer-Met_1.1,34.96782206,34.96782206,34.64873264,34.47153879,34.45882732,32.626034,30.93876824,30.3255118,32.64731182,31.05762895,30.73522816,33.76969101,32.06911413,32.01629972,33.77174147,32.0939196,32.0295681
Summer-Met_1.2,34.8781104,34.8781104,34.52410795,34.34834805,34.30133093,32.53635786,30.92950747,30.39499616,32.557747,31.05945237,30.83219792,33.73413398,32.07732092,32.19922605,33.73623717,32.10281747,32.21192516
Summer-Met_1.3,34.79699569,34.79699569,34.395173,34.21972395,34.13650827,32.44510286,30.91841285,30.52921634,32.46651664,31.05825488,30.98253006,33.69193303,32.02837735,32.37360471,33.69405944,32.05463558,32.38565024
WinterIndoor-Met_0.8,35.12736834,35.12736834,35.22019304,35.09734876,34.95460622,33.49815916,32.0114552,30.38759342,33.51667367,32.09999165,30.63900195,33.72205366,30.45026093,30.03601484,33.72371608,30.47255381,30.05008069
WinterIndoor-Met_1.0,34.74319783,34.74319783,35.05090063,34.9193868,34.70479247,33.22696576,31.62428289,28.83382233,33.24818047,31.73511798,29.21550347,33.84133885,31.48437463,30.20912141,33.84343792,31.5093126,30.2258527
WinterIndoor-Met_1.1,34.63058333,34.63058333,34.93347282,34.80362321,34.5503534,33.15840075,31.68804273,28.86804574,33.17985445,31.80860273,29.27505215,33.83694292,31.68080377,30.5363153,33.8390752,31.70579114,30.55255513
WinterIndoor-Met_1.2,34.52454522,34.52454522,34.81262842,34.68337015,34.39189144,33.08126715,31.72968231,28.94850323,33.10290644,31.85887551,29.373349,33.80352355,31.72155281,30.78371681,33.80567784,31.74690931,30.79936616
WinterIndoor-Met_1.3,34.41581519,34.41581519,34.69620836,34.56614028,34.23709182,32.99441849,31.73070173,28.98965974,33.01625742,31.8674301,29.42969188,33.75053659,31.66464208,30.92666566,33.7527188,31.69067365,30.9418854
